CID,company_name,company_url,company_hiring,company_jobs_url,Added,company_notes
125,Ideeli,http://ideeli.com,1,http://tbe.taleo.net/NA3/ats/careers/searchResults.jsp?org=IDEELI&cws=1,,--
126,IgoUgo,http://www.igougo.com/,0,0,,--
127,Immersive Labs,http://www.immersivelabs.com/,1,http://immersivelabs.com/index.php/careers,,--
128,Indaba Music,http://www.indabamusic.com/,0,0,,--
129,Ingk Labs,http://ingk.com,0,0,,--
130,Intent Media,http://www.intentmedia.com/,1,http://www.intentmedia.com/jobs,,--
131,INTRO Labs,http://www.getintro.net,0,0,,--
132,Jetsetter,http://www.jetsetter.com/,1,http://www.jetsetter.com/careers,,--
133,JIBE,http://www.jibe.com,0,0,,--
134,JOOR,http://www.jooraccess.com,1,http://jooraccess.com/about#careers,,--
135,Jux,http://www.jux.com,0,0,,--
136,Kaptur,http://www.kaptur.com,1,http://corp.kaptur.com/contactForm.php,,--
137,Kargo,http://www.kargo.com,1,http://www.kargo.com/careers,,--
138,Kikin,kikin.com/,1,kikin.com/jobs,,--
139,Kiwi Interactive,http://www.kiwiinteractive.com/,1,http://www.kiwiinteractive.com/contact/,,--
140,Knewton,http://www.knewton.com/,1,www.knewton.com/jobs,,--
141,Know Your Meme,http://knowyourmeme.com,0,0,,--
142,Krossover,www.krossover.com,1,http://www.startuply.com/Companies/Krossover_3764.aspx,,--
143,Lean Startup Machine,http://leanstartupmachine.com/,1,http://leanstartupmachine.com/jobs/,,--
144,Lifebooker,http://nyc.lifebooker.com/,1,http://nyc.lifebooker.com/jobs,,--
145,LiveIntent,http://www.liveintent.com,1,http://www.linkedin.com/company/liveintent-inc./careers,,--
146,Livestream,http://www.livestream.com,0,0,,--
147,Local Response,http://www.localresponse.com,0,0,,--
148,Longtail Video,http://www.longtailvideo.com/,1,http://www.longtailvideo.com/about/careers/,,--
149,Loosecubes,http://loosecubes.com/,1,http://loosecubes.com/l/work-at-loosecubes,,--
150,Lot18,http://lot18.com,0,0,,--
151,Magnify,http://www.magnify.net,1,http://magnifyjobs.magnify.net/,,--
152,Market Publique,http://www.marketpublique.com,0,0,,--
153,Marketsharing,http://www.marketsharing.com,0,0,,--
154,Marquee Media,http://marqueemedia.com/,1,http://marqueemedia.com/about/careers,,--
155,Media6Degrees,http://media6degrees.com/,1,http://media6degrees.com/careers/join-us/,,--
156,MediaMath,http://www.mediamath.com,1,http://www.mediamath.com/about/careers/,,--
157,Meetup,http://www.meetup.com,0,0,,--
158,Memrise,http://www.memrise.com/,1,http://www.memrise.com/about/jobs/,,--
159,Mimeo,http://www.mimeo.com,0,0,,--
160,Mixel,http://mixel.cc/,1,http://mixel.cc/jobs,,--
161,Mobile Commons,http://mobilecommons.com,1,http://mobilecommons.jobscore.com,,--
162,MongoDB,http://www.mongodb.org/,0,0,,--
163,Moonit,http://moonit.com,0,0,,--
164,"MoovAtom, Inc.",http://www.moovatom.com,0,0,,--
165,Movable Ink,http://movableink.com/,0,0,,--
166,Muck Rack,http://muckrack.com,0,0,,--
167,My City Way,http://www.mycityway.com/,1,http://www.mycityway.com/contact.html,,--
168,MyBankTracker,http://www.mybanktracker.com,1,http://www.ad60.com/jobs/,,--
169,MyFreeConcert,http://www.myfreeconcert.com,0,0,,--
170,Naked Apartments,http://www.nakedapartments.com,0,0,,--
171,Neighborhoodr,http://Neighborhoodr.com,0,0,,--
172,Never Liked It Anyway,http://www.neverlikeditanyway.com,0,0,,--
173,New Work City,http://nwc.co,0,0,,--
174,News.me,http://www.news.me,1,http://www.news.me/jobs,,--
175,NewsBlur,http://www.newsblur.com,0,0,,--
176,NewsCred,http://newscred.com/,0,0,,--
177,Next Jump,http://www.nextjump.com/,1,http://www.nextjump.com/about/careers,,--
178,NoSQL Weekly,http://www.nosqlweekly.com,0,0,,--
179,nrelate,http://www.nrelate.com,1,http://nrelate.com/jobs/,,--
180,NY Convergence,http://www.nyconvergence.com,0,0,,--
181,NYI,http://www.nyi.net/,1,http://www.nyi.net/contact,,--
182,OfferPop,http://offerpop.com/,1,http://offerpop.com/SiteCareers.psp,,--
183,Onepager,http://onepagerapp.com,1,http://onepagerapp.com/jobs,,--
184,OnSwipe,http://www.onswipe.com,1,http://onswipe.com/jobs/,,--
185,OpenSky,http://opensky.com,1,https://opensky.com/content/jobs,,--
186,Oyster,http://www.oyster.com,1,http://www.oyster.com/about/jobs/,,--
187,Panelfly,http://www.panelfly.com,0,0,,--
188,Paperless Post,http://www.paperlesspost.com,1,http://www.paperlesspost.com/jobs,,--
189,Parse.ly,http://parsely.com,0,0,,--
190,PeekYou,http://www.peekyou.com,1,http://www.peekyou.com/jobs,,--
191,Peeriscope,http://www.peeriscopeapp.com/,0,0,,--
192,Perpetually,http://perpetually.com,0,0,,--
193,Personal Democracy Forum,http://personaldemocracy.com/,0,0,,--
194,Piictu,http://www.piictu.com,0,0,,--
195,Pixable,http://www.pixable.com/,1,http://www.pixable.com/about_us/jobs.php,,--
196,Plyfe,http://plyfe.me/,1,http://blog.plyfe.me/jobs,,--
197,PostHelpers,http://www.posthelpers.com,0,0,,--
198,PrivCo,http://www.privco.com,0,0,,--
199,Producteev,http://www.producteev.com,1,http://jobs.producteev.com,,--
200,Promediacorp,http://www.promediacorp.com/,1,http://www.promediacorp.com/careers/,,--
201,Quirky,http://www.quirky.com,1,http://www.quirky.com/about#careers,,--
202,Readability,http://www.readability.com,0,0,,--
203,Readability,http://www.readability.com,0,0,,--
204,reComparison,http://recomparison.com,0,0,,--
205,RecordSetter,http://recordsetter.com/,1,http://recordsetter.com/jobs,,--
206,RedRover,http://redroverapp.com,0,0,,--
207,Refined Hype,http://www.refinedhype.com,0,0,,--
208,Refinery29,http://www.refinery29.com,1,http://www.refinery29.com/careers,,--
209,Rentenna,http://www.rentenna.com,0,0,,--
210,RentHop,http://www.RentHop.com,0,0,,--
211,Reputation Observer,http://www.reputationobserver.com,0,0,,--
212,Ride the City,http://ridethecity.com,0,0,,--
213,RightsFlow,http://www.rightsflow.com,0,0,,--
214,Roboinvest,http://www.roboinvest.com//,0,0,,--
215,Sailthru,http://sailthru.com,0,0,,--
216,Savored,http://Savored.com,1,http://Savored.com/jobs,,--
217,"SayForExample, Inc",http://www.sayforexample.com,1,http://www.sayforexample.com/careers.html,,--
218,Schoology,http://www.schoology.com,1,https://www.schoology.com/jobs.php,,--
219,Seamless Receipts,http://www.seamlessreceipts.com,0,0,,--
220,SeatGeek,http://seatgeek.com,1,http://seatgeek.com/jobs/,,--
221,Send Word Now,http://www.sendwordnow.com,0,0,,--
222,Sense Networks,http://www.sensenetworks.com/,1,http://www.sensenetworks.com/about_careers.php,,--
223,Shapeways,http://www.shapeways.com,1,http://www.shapeways.com/jobs,,--
224,ShopKeep.com,http://www.shopkeep.com,1,http://shopkeep.jobscore.com/list,,--
225,Shorty Awards,http://shortyawards.com,0,0,,--
226,ShowMe,http://www.showme.com,1,http://www.showme.com/careers,,--
227,ShowMeLocal Inc.,http://showmelocal.com,0,0,,--
228,SideTour,http://www.sidetour.com,0,0,,--
229,Signpost,http://www.signpost.com,1,http://www.signpost.com/careers,,--
230,SinglePlatform,http://www.singleplatform.com,0,0,,--
231,Skillshare,http://www.skillshare.com/,1,http://www.skillshare.com/careers,,--
232,Slader,http://www.slader.com/,1,http://www.slader.com/jobs,,--
233,Smartling,http://www.smartling.com,0,0,,--
234,SnapGoods,http://snapgoods.com,0,0,,--
235,Social Fresh,http://socialfresh.com,0,0,,--
236,SocialFlow,http://www.socialflow.com/,0,0,,--
237,Sociocast,http://www.sociocast.com,0,0,,--
238,Solvate,http://www.solvate.com,0,0,,--
239,Sonar,http://www.sonar.me,1,http://www.sonar.me/jobs,,--
240,Songtrust,http://songtrust.com,1,http://blog.songtrust.com/jobs,,--
241,Songza,http://www.songza.com,0,0,,--
242,SortPrice,http://www.sortprice.com,0,0,,--
243,Spinlister,http://spinlister.com/,0,0,,--
244,Sponsor Hub,http://www.sponsorhub.com,1,http://www.sponsorhub.com/careers,,--
245,"Sponsored Ads, Inc.",http://sponsoredads.com/,0,0,,--
246,Squarespace,http://www.squarespace.com,1,careers.squarespace.com,,--
247,Stamped,http://www.stamped.com,0,0,,--
248,Storyville,http://www.storyvilleapp.com,0,0,,--
249,Stray Boots,http://www.strayboots.com/,1,http://www.strayboots.com/careers/,,--
250,StreetEasy,http://streeteasy.com,0,0,,--
251,StyleCaster,http://www.stylecaster.com,0,0,,--
252,Sulia,http://www.sulia.com,1,http://www.sulia.com/jobs,,--
253,Svpply,http://www.svpply.com,0,0,,--
254,TapEdition,http://www.tapedition.com/,1,http://tapedition.jobscore.com,,--
255,TasteSavant,http://www.tastesavant.com,0,0,,--
256,The Echo System,http://www.theechosystem.com,0,0,,--
257,The Icon Deposit,http://icondeposit.com,0,0,,--
258,The Ladders,http://www.theladders.com/,1,http://careers.theladders.com/current-openings/,,--
259,The Mindriot,http://themindriot.com,0,0,,--
260,The Webby Awards,http://www.webbyawards.com,0,0,,--
261,Thrillist,http://thrillist.com,1,http://www.thrillist.com/careers/,,--
262,Thumb,http://thumb.it,0,0,,--
263,Timehop,http://timehop.com/,1,http://timehop.com/joinus,,--
264,Tip or Skip,http://www.tiporskip.com,0,0,,--
265,"Totsy, Inc.",http://www.totsy.com/,1,http://www.totsy.com/pages/careers,,--
266,Toura,http://toura.com/,0,0,,--
267,Tracks,http://www.tracks.io,0,0,,--
268,TradeCard,http://tradecard.com/app/bin/index.html,1,http://www.tradecard.com/about/careers.html,,--
269,TurnTo Networks,http://www.turnto.com,1,http://seeker.dice.com/jobsearch/servlet/JobSearch?op=101&dockey=xml/5/b/5b0c31d713c399a9c4eaa6fa0c5186ea@endecaindex&c=1&source,,--
270,Tutorspree,http://www.tutorspree.com,1,http://startups.hackruiter.com/tutorspree,,--
271,TwitrPix,http://twitrpix.com/,0,0,,--
272,TxtImpact,http://www.TxtImpact.com,0,0,,--
273,Uncommon Goods,http://www.uncommongoods.com/,1,http://www.uncommongoods.com/careers,,--
274,Under 30 CEO,http://under30ceo.com,0,0,,--
275,Unigo,http://www.unigo.com,0,0,,--
276,Unroll.me,http://unroll.me,0,0,,--
277,Vimeo,http://www.vimeo.com,1,http://www.vimeo.com/jobs,,--
278,Visual Revenue,http://visualrevenue.com,1,http://visualrevenue.com/aboutus/jobs,,--
279,Voxel,http://voxel.net/,1,http://voxel.net/jobs,,--
280,Voxy,http://www.voxy.com,1,http://voxy.com/about/jobs/en/,,--
281,VYou,http://www.vyou.com,0,0,,--
282,WaitAway,http://www.waitawayapp.com,0,0,,--
283,Wanderfly,http://www.wanderfly.com,1,http://blog.wanderfly.com/jobs/,,--
284,WANT!,http://want.it,0,0,,--
285,Warby Parker,http://www.warbyparker.com,1,http://www.warbyparker.com/jobs,,--
286,Well + Good,http://www.WellandGoodNYC.com,0,0,,--
287,WickedFire,http://www.wickedfire.com,0,0,,--
288,Winito Athletics,http://www.winitoathletics.com/,1,http://www.winitoathletics.com/jobs.aspx,,--
289,xCubicle,http://xcubicle.com,0,0,,--
290,Xtify,http://xtify.com,0,0,,--
291,YAP Trackers,http://www.yaptracker.com,0,0,,--
292,Ycharts,http://ycharts.com,0,0,,--
293,Yext,http://www.yext.com,1,http://www.yext.com/company-careers.html,,--
294,Yipit,http://yipit.com,0,0,,--
295,Yodle,http://www.yodle.com/,1,http://www.yodle.com/careers,,--
296,Yog,http://www.getyog.com,0,0,,--
297,Zeel,http://Zeel.com,0,0,,--
298,ZocDoc,http://www.zocdoc.com/,1,http://www.zocdoc.com/careers,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
,,,,,,--
